OrderNo, PartNo, BendingLines, WeldingPoints, PaintTime, DueDate 
0, 0, 4, 6, 0, 180
0, 1, 5, 5, 0, 180
0, 2, 8, 0, 0, 180
1, 0, 1, 12, 8, 276
1, 1, 5, 0, 6, 276
1, 2, 1, 0, 3, 276
2, 0, 7, 8, 3, 368
2, 1, 2, 0, 4, 368
3, 0, 3, 11, 7, 152
3, 1, 2, 11, 5, 152
3, 2, 1, 5, 0, 152
4, 0, 1, 0, 6, 283
4, 1, 3, 0, 3, 283
5, 0, 7, 0, 7, 88
6, 0, 7, 0, 6, 95
7, 0, 3, 8, 5, 342
8, 0, 4, 13, 3, 157
8, 1, 2, 9, 0, 157
8, 2, 8, 8, 7, 157
9, 0, 2, 4, 3, 186
10, 0, 2, 3, 3, 231
10, 1, 5, 0, 6, 231
11, 0, 4, 12, 5, 171
12, 0, 3, 6, 0, 279
13, 0, 5, 3, 3, 34
14, 0, 3, 13, 4, 341
14, 1, 3, 0, 3, 341
