OrderNo, PartNo, BendingLines, WeldingPoints, PaintTime, DueDate 
0, 0, 6, 8, 3, 113
0, 1, 3, 2, 6, 113
0, 2, 6, 7, 6, 113
1, 0, 2, 7, 6, 242
2, 0, 2, 6, 3, 230
3, 0, 8, 11, 0, 286
3, 1, 3, 1, 3, 286
4, 0, 8, 5, 6, 72
4, 1, 7, 5, 0, 72
5, 0, 7, 9, 3, 269
5, 1, 4, 4, 0, 269
6, 0, 2, 9, 0, 214
6, 1, 7, 7, 8, 214
6, 2, 6, 11, 7, 214
7, 0, 3, 8, 0, 187
7, 1, 6, 0, 8, 187
7, 2, 2, 11, 0, 187
8, 0, 3, 11, 3, 350
9, 0, 3, 12, 8, 50
10, 0, 6, 7, 7, 363
11, 0, 6, 10, 8, 374
11, 1, 5, 0, 4, 374
12, 0, 4, 6, 0, 217
12, 1, 8, 2, 6, 217
12, 2, 4, 0, 7, 217
13, 0, 4, 0, 3, 366
14, 0, 7, 4, 0, 79
14, 1, 6, 0, 5, 79
14, 2, 2, 14, 5, 79
