Complexity;QPU;Label;Best Known Solutions (%);Good Known Solutions (%);Lowest Energy;Average Energy;Standard Deviation
Job10;D-Wave Advantage;embedding1A;16.8;42.0;-8.0;-6.3;1.9
Job10;D-Wave Advantage;embedding1B;18.4;45.6;-8.0;-6.3;2.1
Job10;D-Wave Advantage;embedding2A;14.6;48.2;-8.0;-6.4;1.9
Job10;D-Wave Advantage;embedding2B;13.4;46.2;-8.0;-6.3;2.0
Job10;D-Wave Advantage;embedding3A;20.0;41.0;-8.0;-6.1;2.1
Job10;D-Wave Advantage;embedding3B;15.0;45.2;-8.0;-6.2;2.2
Job10;D-Wave Advantage;default_chains;14.2;39.8;-8.0;-5.7;2.8
Job10;D-Wave Advantage;scaled_chains1;19.4;37.0;-8.0;-5.5;2.8
Job10;D-Wave Advantage;scaled_chains2;11.8;29.4;-8.0;-4.8;3.4
Job10;D-Wave Advantage;torque_chains1;26.8;67.0;-8.0;-7.1;1.5
Job10;D-Wave Advantage;torque_chains2;19.6;61.0;-8.0;-6.9;1.6
Job10;D-Wave Advantage;time_10;25.0;63.8;-8.0;-7.1;1.3
Job10;D-Wave Advantage;time_15;27.6;63.0;-8.0;-7.0;1.3
Job10;D-Wave Advantage;time_20;27.6;70.2;-8.0;-7.2;1.3
Job10;D-Wave Advantage;time_25;28.0;76.4;-8.0;-7.4;1.1
Job10;D-Wave Advantage;time_30;21.2;69.0;-8.0;-7.2;1.2
Job10;D-Wave Advantage;quench_schedule1;30.2;75.0;-8.0;-7.4;1.0
Job10;D-Wave Advantage;quench_schedule2;29.0;77.6;-8.0;-7.4;1.2
Job10;D-Wave Advantage;reverse_schedule1;20.0;62.0;-8.0;-6.9;1.5
Job10;D-Wave Advantage;reverse_schedule2;25.2;62.6;-8.0;-6.9;1.6
Job10;D-Wave Advantage;reverse_schedule1;28.0;68.6;-8.0;-7.2;1.3
Job10;D-Wave Advantage;reverse_schedule2;30.2;72.2;-8.0;-7.2;1.4
Job10;D-Wave Advantage;reverse_schedule1;20.2;67.6;-8.0;-7.1;1.4
Job10;D-Wave Advantage;reverse_schedule2;28.0;67.2;-8.0;-7.1;1.5
Job10;D-Wave Advantage;reverse_schedule1;22.4;70.0;-8.0;-7.2;1.2
Job10;D-Wave Advantage;reverse_schedule2;23.6;72.0;-8.0;-7.2;1.2
Job10;D-Wave Advantage;reverse_schedule1;28.4;66.2;-8.0;-7.1;1.4
Job10;D-Wave Advantage;reverse_schedule2;28.4;64.2;-8.0;-7.0;1.5
Job20;D-Wave Advantage;embedding1A;1.0;29.0;-8.0;-4.7;3.4
Job20;D-Wave Advantage;embedding1B;0.4;28.0;-8.0;-4.4;3.7
Job20;D-Wave Advantage;embedding2A;1.2;27.6;-8.0;-4.6;3.6
Job20;D-Wave Advantage;embedding2B;2.0;36.0;-8.0;-5.3;3.2
Job20;D-Wave Advantage;embedding3A;1.8;34.2;-8.0;-5.0;3.3
Job20;D-Wave Advantage;embedding3B;2.2;32.4;-8.0;-4.9;3.4
Job20;D-Wave Advantage;default_chains;1.2;28.0;-8.0;-4.7;3.4
Job20;D-Wave Advantage;scaled_chains1;0.8;7.0;-8.0;1.1;6.6
Job20;D-Wave Advantage;scaled_chains2;0.6;8.4;-8.0;0.8;6.9
Job20;D-Wave Advantage;torque_chains1;1.6;35.6;-8.0;-5.2;3.4
Job20;D-Wave Advantage;torque_chains2;1.8;28.2;-8.0;-4.9;3.2
Job20;D-Wave Advantage;time_15;1.6;27.0;-8.0;-4.3;3.8
Job20;D-Wave Advantage;time_20;1.0;29.4;-8.0;-4.7;3.7
Job20;D-Wave Advantage;time_25;0.2;26.8;-8.0;-4.9;3.3
Job20;D-Wave Advantage;time_30;0.8;28.0;-8.0;-4.9;3.1
Job20;D-Wave Advantage;time_35;1.8;27.4;-8.0;-5.0;3.2
Job20;D-Wave Advantage;quench_schedule1;1.8;31.8;-8.0;-4.9;3.4
Job20;D-Wave Advantage;quench_schedule2;1.2;24.8;-8.0;-4.4;3.6
Job20;D-Wave Advantage;reverse_schedule1;0.8;20.4;-8.0;-3.7;4.1
Job20;D-Wave Advantage;reverse_schedule2;0.6;26.0;-8.0;-4.6;3.5
Job50;D-Wave Advantage;embedding1A;0.2;1.0;-9.7;3.2;8.1
Job50;D-Wave Advantage;embedding1B;0.2;0.4;-9.5;4.2;8.0
Job50;D-Wave Advantage;embedding2A;0.4;1.2;-10.0;3.0;7.9
Job50;D-Wave Advantage;embedding2B;0.2;1.8;-10.0;3.5;8.2
Job50;D-Wave Advantage;embedding3A;0.2;3.2;-9.7;4.2;8.0
Job50;D-Wave Advantage;embedding3B;0.2;1.4;-10.0;2.4;7.4
Job50;D-Wave Advantage;default_chains;0.4;2.4;-9.7;3.4;7.6
Job50;D-Wave Advantage;scaled_chains1;0.2;0.2;-3.2;53.4;25.3
Job50;D-Wave Advantage;scaled_chains2;0.2;0.2;-4.6;59.3;27.0
Job50;D-Wave Advantage;torque_chains1;0.2;3.2;-10.0;2.7;7.6
Job50;D-Wave Advantage;torque_chains2;0.2;2.0;-9.7;4.3;8.2
Job50;D-Wave Advantage;time_20;0.4;1.8;-9.8;3.7;7.3
Job50;D-Wave Advantage;time_25;0.2;2.4;-9.6;4.3;7.8
Job50;D-Wave Advantage;time_30;0.2;2.2;-9.9;3.1;7.7
Job50;D-Wave Advantage;time_35;0.2;3.4;-9.9;2.1;7.2
Job50;D-Wave Advantage;time_40;0.2;3.2;-10.0;2.1;7.0
Job50;D-Wave Advantage;quench_schedule1;0.2;3.0;-9.8;2.4;7.5
Job50;D-Wave Advantage;quench_schedule2;0.2;2.4;-9.8;3.8;7.7
Job50;D-Wave Advantage;reverse_schedule1;0.2;2.4;-9.8;1.8;6.5
Job50;D-Wave Advantage;reverse_schedule2;0.6;4.2;-9.9;2.3;7.4
Job100;D-Wave Advantage;embedding1A;0.2;0.2;9.1;58.4;22.9
Job100;D-Wave Advantage;embedding1B;0.2;0.2;4.4;55.9;22.6
Job100;D-Wave Advantage;embedding2A;0.2;0.2;5.4;94.1;36.5
Job100;D-Wave Advantage;embedding2B;0.2;0.2;6.8;83.8;38.1
Job100;D-Wave Advantage;embedding3A;0.2;0.6;-5.7;18.5;14.7
Job100;D-Wave Advantage;embedding3B;0.2;1.0;-4.9;18.6;14.3
Job100;D-Wave Advantage;default_chains;0.2;0.4;-6.5;15.5;13.5
Job100;D-Wave Advantage;scaled_chains1;0.2;0.2;314.5;647.9;147.8
Job100;D-Wave Advantage;scaled_chains2;0.2;0.2;180.5;618.4;153.7
Job100;D-Wave Advantage;torque_chains1;0.2;0.4;2.8;48.2;27.7
Job100;D-Wave Advantage;torque_chains2;0.2;0.2;-4.5;50.7;28.5
Job100;D-Wave Advantage;time_20;0.4;0.6;1.6;43.1;22.6
Job100;D-Wave Advantage;time_25;0.2;0.4;3.1;47.1;25.1
Job100;D-Wave Advantage;time_30;0.2;0.2;1.3;42.4;20.9
