Complexity;QPU;Energy;Category
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-6;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-5.1;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4.2;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-4;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-3.1;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2.2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-2;QPU
Job10;D Wave;-1.1;QPU
Job10;D Wave;-1.1;QPU
Job10;D Wave;-1.1;QPU
Job10;D Wave;-0.2;QPU
Job10;D Wave;-0.2;QPU
Job10;D Wave;-0.2;QPU
Job10;D Wave;-0.2;QPU
Job10;D Wave;0;QPU
Job10;D Wave;0;QPU
Job10;D Wave;0;QPU
Job10;D Wave;0;QPU
Job10;D Wave;0.9;QPU
Job10;D Wave;0.9;QPU
Job10;D Wave;0.9;QPU
Job10;D Wave;1.8;QPU
Job10;D Wave;1.8;QPU
Job10;D Wave;1.8;QPU
Job10;D Wave;1.8;QPU
Job10;D Wave;2;QPU
Job10;D Wave;5.6;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-8;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-7.1;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
Job10;D Wave;-6.2;QPU
